id	name	prereq	subseq	type	alias	description
335	Straddle Palm Full	Straddle Palm Flip		Wall/Flip/Twist		A full twisting Straddle Palm Flip.
336	Two-Foot Wall Inward Side Full	Two-Foot Wall Inward Side		Wall/Flip/Twist		A full twisting Two-Foot Wall Inward Side.
337	EW Gainer Full	EW Gainer, Gainer Full	EW Gainer Double Full	Wall/Flip/Twist	Eugene Wall Gainer Full, Erik Wall Gainer Full	A full twisting EW Gainer. This was first landed by Shawn Bautista in 2014.
338	Dive Kong Gainer	Kong Gainer	360 Dive Kong Gainer	Vault/Flip	Dive Cat Pass Gainer	A dive into a Kong Gainer.
339	Wall Front Two-Foot Wall Flip	Punch Wall Flip, Wall Inward Front		Wall/Flip	Dolphin Rebound	Wall Front into a Punch Wall Flip while inverted on the same wall.
340	Knee 360 Dive Front Flip	360 Dive Front Flip		Wall/Flip/Twist	Knee Vortex Front, Knee Pig Skin, Knee Psycho Crusher	A 360 Dive Front Flip set off a ledge from kneeling position. This was first landed by Dimitris Dk' Kyrsanidis of team Focus in 2014.
341	Safety Gainer	Safety Vault		Vault/Flip	Speed Step Gainer, Step Vault Gainer	Safety Vault into a Gainer. This was first landed by Alfred Scott of Dodo Freerunning in 2015.
342	Safety Vault		180 Safety Vault, Double Safety Vault, One-Hand Reverse Safety, Reverse Safety, Safety Gainer, Safety Precision, Safety Vault 360, Side Vault, Speed Safety, Speed Vault	Vault	Speed Step, Step Vault	A one-hand vault using the opposite foot  to step off the top of the wall as the other foot kicks through.
343	Devil Drop Gainer Full	Devil Drop Gainer		Wall/Flip/Twist		A full twisting Devil Drop Gainer.
344	Pimp Spin Gainer	Gaet Pimp, Palm Spin Gainer	Pimp Spin Gainer Full, Pimp Spin Gainer Pike	Beam/Flip		Pimp Flip and Palm Spin Gainer variation using just the hand closest to a short wall to push down (Pimp Flip technique) while leading with the leg closest to the wall to set into a Gainer (Palm Spin Gainer technique).
345	Toe Shoot Handstand	Toe Shoot Dive Roll		Bar/Flip/Handstand		A toe shoot executed into a Handstand.
346	Russian Double Front	Russian Front Flip		Flip		A double rotating Russian Front.
347	Double Reverse Vault	Reverse Vault		Vault		Reverse Vault off a vault diving backwards into a Reverse Vault off a consecutive obstacle.
348	Kong Front Cat	Kong Front		Vault/Wall/Flip	Cat Pass Front Cat Hang	Kong Front landing in Cat Hang position.
349	Hang Castaway Layout	Hang Castaway Back		Wall/Flip		A laid out Hang Castaway Back.
350	Hang Gainer	Flyaway	Hang Gainer Full, One-Hand Hang Gainer	Wall/Flip		Gainer set from Hang position against a wall.
351	Gainer Double Full	Gainer Full	Gainer Triple Full	Flip/Twist	Gainer 720	A double twisting Gainer.
352	Ankle Front	Front Flip		Bar/Flip		Front Flip set while off balance and leaning forward with both ankles hooked over a bar or ledge.
353	One-Step Wall Spin	Wall Spin	One-Step Wall Spin Frisbee	Wall		One step up a wall into a Wall Spin.
354	Gargoyle Pimp Full	Gargoyle Pimp		Wall/Flip/Twist	Gargoyle Corkscrew	A full twisting Gargoyle Pimp. Reference Club540.com for Corkscrew. This was first landed by Alfred Scott of Dodo Freerunning in 2012.
355	Inward Down Monkey Half	Inward Down Monkey		Wall/Flip/Twist		A half twisting Inward Down Monkey.
356	Gainer Triple Full	Gainer Double Full	Gainer Quadruple Full	Flip/Twist	Gainer 1080	A triple twisting Gainer.
357	Two-Step Wall One and a Half Full	Two-Step Wall Full	Two-Step Wall Double Full	Wall/Flip/Twist	Two-Step Wall Flip 540	A one-and-a-half twisting Wall Flip.
358	One-Hand Palm Gainer Full-Down	One-Hand Palm Gainer		Wall/Flip/Twist	Ginger Flip Full-Down, Hi-Five Gainer Full-Down	One-Hand Palm Gainer into a full twist after the flip.
359	Frog Stall Gainer	Frog Gainer		Vault/Flip	Frog Gainer Layout	Frog Gainer with stalled tuck.
360	Inward Flyaway Regrab	Inward Flyaway		Bar/Flip		An Inward Flyaway followed by regrabbing the same bar.
361	Cast One-and-a-Half Front Flip Dive Roll	Cast Front, One-and-a-Half Front Flip Dive Roll		Bar/Flip/Roll		A cast set into a one and a half rotating Cast Front over the bar into a Dive Roll.
362	Side Vault	Safety Vault	Side Vault Pimp	Vault		A vault with both legs passing over the side.
363	Shoulder Giant	Giant		Bar		Giant using both shoulders to hook over the bar.
364	Inverted Human Flag			Pole		Human Flag using only both feet to hold onto the pole.
365	Rail Macaco		Macaco	Vault/Flip	Rail Valdez	Macaco using a rail for support.
366	Safety Vault 360	Safety Vault		Vault/Twist	Speed Step 360, Step Vault 360	Safety Vault followed by a full twist.
367	Hang Toe Front	Front Flip		Wall/Flip		A front tuck set from Hang off a wall   with both feet.
368	Webster One and a Half Full	Webster Full		Flip/Twist	Webster 540	A one and a half full twisting Webster.
369	One-Hand Handstand	Handstand				Handstand only using one hand.
370	Sitting Touchdown Tunnel Flip	Tunnel Flip		Flip		Tunnel Flip set off a ledge from half sitting and by touching down.
371	Knee Corkscrew	Corkscrew	Knee Double Corkscrew	Wall/Flip/Twist		Corkscrew set off a ledge using a knee in lieu of the jump leg. Reference Club540.com for Corkscrew.
372	Kong Stall Gainer	Kong Gainer	Kong Gainer X-Out	Vault/Flip	Cat Pass Stall Gainer	Kong Gainer with a stalled tuck.
373	Two-Step Wall Double Full	Two-Step Wall One and a Half Full	Two-Step Wall Two and a Half Full	Wall/Flip/Twist	Two-Step Double Waffle, Two-Step Wall Flip 720	A double twisting Two-Step Wall Flip.
374	Triple Kong	Double Kong		Vault	Triple Cat Pass	A vault in which the Kong Vault off the first wall is used to dive to a Kong off the second wall and then off a third parallel obstacle.
375	One-Step One-Hand Palm Gainer	One-Hand Palm Gainer		Wall/Flip	One-Step Ginger Flip, One-Step Hi-Five Gainer	One step up a wall into One-Hand Palm Gainer.
376	One-Step Cast Gainer	Cast Gainer		Vault/Flip	One-Step Cast Gainer	One step off a wall into a cast set into a gainer over the wall. This was first landed by Alfred Scott of Dodo Freerunning in 2014.
377	Stall Gainer	Gainer	Full-Up Gainer, Lazy Boy Gainer	Flip		Gainer with a stalled tuck.
378	Lache Dive Roll	Dive Roll, Lache	Lache Handstand	Bar/Flip/Roll		Lache executed into Dive Roll.
379	Russian Front Flip		Russian Double Front, Russian Front One and a Half Dive Roll	Flip		Front Flip set by swinging both arms backwards.
380	One-Step Kong Front	Kong Front		Vault/Flip	One-Step Cat Pass Front	One step off the face of the vault into a Kong Front.
381	Turn Castaway Full	Turn Castaway Back		Wall/Flip/Twist		A full twisting Turn Castaway.
382	Inward Double Webster	Inward Webster		Flip		A double rotating Inward Webster.
383	Full-Up Side	Side Flip	Full-Up Side Precision	Flip/Twist	360 Dive Side, Vortex Side	360 twist up while stalling the flip into a side tuck.
384	Gainer Layout	Gainer		Flip		A laid out Gainer.
385	Flyaway Double Layout	Double Flyaway, Flyaway Layout		Bar/Flip	Swing Gainer Double Layout, Bar Gainer Double Layout	A laid out Double Flyaway.
386	Double Layout	Back Layout		Flip		A double rotating Back Layout.
387	Wall Pike	Wall Flip	Wall Stall Pike Layout	Wall/Flip		A piked (legs straight and together during the tuck) Wall Flip.
388	180 Dive Down Monkey	Down Monkey	360 Dive Down Monkey	Wall/Flip/Twist	Sunny Side Up	A half twisting dive set into a Down Monkey.
389	360 Dive Kong	360 Kong, Dive Kong	360 Dive Kong 360 Dive Roll, 360 Dive Kong Gainer, 360 Dive Pimp, 720 Dive Kong	Vault/Twist	360 Dive Cat Pass, Vortex Cat Pass, Vortex Kong	A full twisting dive into Kong vault.
390	Flyaway Cat	Flyaway	Flyaway Full Cat	Bar/Wall		Flyaway landing in Cat Hang position.
391	Elbow Flyaway Double Full	Elbow Flyaway Full		Bar/Flip/Twist		A double twisting Elbow Flyaway.
392	Elbow Flyaway	Flyaway	Elbow Flyaway Full	Bar/Flip		Flyaway using both elbows to hold onto the bar.
393	One-Hand Palm Gainer Layout	One-Hand Palm Gainer		Wall/Flip	Ginger Flip Layout, Hi-Five Gainer Layout	A laid out One-Hand Palm Gainer.
394	One-Hand Wall Cartwheel	Wall Cartwheel		Wall		A one-hand Wall Cartwheel.
395	Baby Knee Giant		Knee Giant	Bar		A giant circle using both hands and knees to grip the bar.
396	Two-Step Wall Full	Two-Step Wall Flip	Two-Step Palm Wall Full, Two-Step Wall One and a Half Full	Wall/Flip/Twist	Two-Step Waffle, Two-Step Wall Flip 360	A full twisting Two-Step Wall Flip.
397	Castaway Layout	Castaway Back		Bar/Flip		A laid out Castaway.
398	Elbow Flyaway Full	Elbow Flyaway	Elbow Flyaway Double Full	Bar/Flip/Twist		A full twisting Elbow Flyaway.
399	Elbow Gargoyle Gainer	Gargoyle Gainer		Wall/Flip		Gargoyle Gainer set from Elbow Gargoyle position. This was first landed by Alfred Scott of Dodo Freerunning in 2014.
400	Wall Roll		Wall Roll Half, Wall Roll Punch Wall Flip	Wall/Roll		A roll up a wall.
401	Lache Lache	Lache		Bar		Lache into another Lache.
402	One-Step Palm Full	One-Step Palm Flip		Wall/Flip/Twist		One step up a wall into a Palm Flip Full.
403	One-Step 360 Palm Flip	One-Step Palm Flip, Wall Pop 360		Wall/Flip/Twist	Wall Pop 360 Palm Flip, Wall Run 360 Palm Flip	Wall Pop 360 into a Palm Flip.
404	One-Step Palm Snapuswipe			Wall/Twist		One step up a wall, arch back, and push off the wall and kick into a Snapuswipe. Reference Club540.com for Cheat 720 Twist.
405	Palm Macaco Twist	One-Hand Down Monkey	One-Step Palm Macaco Twist	Wall/Flip/Twist	Palm Valdez Twist	Macaco Full palming off a perpendicular wall.
406	Thief Precision	Thief Vault		Vault/Beam		Thief Vault to Precision landing.
407	Aerial Twist	Aerial	Aerial Twist-In Back-Out, Inward Aerial Twist, Knee Aerial Twist, Rail Aerial Twist	Flip/Twist	A-twist	A full twisting Aerial.
408	Roll Kip-up Half-In Back-Out	Roll Kip-up		Roll/Flip/Twist		A half-twisting rolling Kip-up into a back tuck. This was first landed by Cato Aspmo in 2011. Reference Club540.com for Kip-up.
409	Macaco	Back Handspring	Inward Macaco, Macaco Back, Macaco Full, Rail Macaco	Flip	Valdez	A one-hand Back Handspring.
410	Macaco Full	Macaco		Flip/Twist	Valdez Full	A full twisting Macaco.
411	Double Arabian	Arabian		Flip		An Arabian with a double rotating front tuck.
412	Back Dash	Half-Up Back		Flip/Vault		A 180 jump into a back tuck while pushing off the vault.
413	Climb Up			Wall		A method for efficiently mounting a wall from Cat Hang position.
414	One-and-a-Half Front Flip Dive Roll	Front Flip	360 Dive One-and-a-Half Front Flip Dive Roll, Cast One-and-a-Half Front Flip Dive Roll, Front 360 Dive Roll	Flip/Roll		Front Flip with one and a half degree rotation to Dive Roll.
415	Wall Inward Double Leg	Double Leg	Two-Step Wall Inward Side Straddle	Wall/Flip		An Inward Double Leg set off a wall. Reference Club540.com for Double Leg.
416	Two-Step Wall Inward Side Straddle	Wall Inward Double Leg		Wall/Flip		Two steps up a wall set into an Inward Side with legs straddled (split out to the sides).
417	Three-Step Wall Flip	Two-Step Wall Flip		Wall/Flip		Three steps up a wall into a Wall Flip.
418	Rail Double Aerial Twist	Rail Aerial Twist	Rail Triple Aerial Twist	Vault/Flip/Twist	Rail Double A-twist	A double twisting Rail Aerial.
419	Backward Seat Circle Gainer	Backward Seat Circle		Bar/Flip	Champion, L-sit Lache Gainer	Backward Seat Circle into a Gainer.
420	Running Gainer	Gainer	Gargoyle Gainer, Inward Dive Roll, Inward Wall Flip Cat, Lazy Boy Running Gainer, Lazy Gainer, Running Double Gainer, Running Gainer Cat, Running Gainer Catch, Running Gainer Down Monkey, Running Gainer Full, Running Gainer Layout, Running Gainer Pike	Flip		A run set into a Gainer.
421	Running Double Gainer	Running Gainer	Running Gainer-In Full-Out	Flip		A run set into a Double Gainer.
422	Castaway Inward Front	Inward Front	Castaway Inward Front Half, Castaway Inward Front Regrab, Devil Drop Castaway Inward Front, Handstand Inward Front	Bar/Flip		A castaway set into an inward front tuck.
423	Punch Wall Inward Front Half	Punch Wall Inward Front		Wall/Flip/Twist		A half twisting Punch Wall Inward Front.
424	One-Step Wall Spring	Wall Spring		Wall/Flip		One-step Wall Spin into a Front Handspring while inverted.
425	180 Cat Leap	Cat Leap	270 Cat Leap	Wall		From Cat Hang position, 180 jump to another wall landing in Cat Hang position.
426	Inward Flyaway Full	Inward Flyaway Half	Inward Flyaway One and a Half Full	Bar/Flip/Twist	Inward Flyaway 360	A full twisting Inward Flyaway.
427	Frog Gainer Full	Frog Gainer		Flip/Twist		A full twisting Frog Gainer.
428	One-Step Thread Wall Flip	Wall Flip		Wall/Flip		One step up a wall while threading the stepping leg into a Wall Flip.
429	Shoulder Mount Side	Shoulder Mount		Bar/Flip		A side tuck set from Shoulder Mount position (Pole Dancing position).
430	One-Step Touchdown Raiz Twist Vault	Touchdown Raiz		Vault/Flip/Twist		One step off the face of a vault set into to a Touchdown Raiz followed by a full twist.
431	Punch Wall Full-Up Inward Front	360 Dive Front Flip, Punch Wall Inward Front		Wall/Twist/Flip	Two-Foot Wall 360 Inward Front, Two-Foot Wall Vortex Inward Front	Punch set up the wall into a full twist into an inward front tuck. This was first landed by Farshad Mohammadian in 2014.
432	Palm Spin Gaet Pimp	Gaet Pimp, Palm Spin	Dive Palm Spin Gaet Pimp, Palm Spin Gaet Pimp Full	Beam/Flip		Palm Spin executed into a Gaet Pimp Flip. This was first landed by Gaetan Bouillet of Speeders Family in 2014.
433	Turn Gaet Pimp	Running Turn Gaet Pimp	Sitting Turn Gaet Pimp, Turn Gaet Double Pimp, Turn Gaet Pimp Full, Turn Gaet Pimp Layout, Turn Gaet Pimp Pike, Turn Gaet Pimp Wall Flip	Beam/Flip		A 180 turn off the corner of a ledge into a Gaet Pimp. This was first landed by Gaetan Bouillet of Speeders Family in 2014.
434	One-Step Palm Macaco Twist	Palm Macaco Twist		Wall/Flip/Twist	One-Step Palm Valdez Twist	One step off a wall set into a Palm Macaco Twist.
435	Devil Drop Gainer Down Monkey	Devil Drop Gainer, Down Monkey	Devil Drop Gainer One-Hand Down Monkey	Wall/Flip	Devil Gainer Down Monkey, Cat Wall Gainer Down Monkey	Devil Drop Gainer into a Down Monkey.
436	Double Frisbee Vault	Frisbee Vault		Vault/Flip		A double rotating Frisbee Vault. This was first landed by Valtteri Luoma-aho in 2015.
437	Frisbee Vault	Frisbee	Double Frisbee Vault, Frisbee Vault Gyro	Vault/Flip		Frisbee set over a vault.
438	Palm Gainer	Gainer, Palm Flip	Dive Palm Gainer, Palm Gainer Full, Slant Palm Gainer, Trapdoor Palm Gainer	Wall/Flip		Gainer set by pushing against the vertical face of a wall with both hands.
439	Gargoyle Dash Roll	Dash Roll	Gargoyle Dash Bomb	Wall/Roll		Dash Roll set from Gargoyle position. This was first landed by Sean Nobles in 2015.
440	720 Dive Roll Bomb	360 Dive Roll Bomb, 720 Dive Roll		Roll/Twist	720 Morph Bomb	A double twisting Dive Roll off a ledge into a side or front tuck. This move was landed by Aaron Hakala in 2013.
441	Wall Double Corkscrew	Wall Corkscrew	Wall Triple Corkscrew	Wall/Flip/Twist		A double twisting Wall Corkscrew. Reference Club540.com for Double Corkscrew.
442	Turn Gaet Pimp Full	Turn Gaet Pimp	Turn Gaet Pimp Double Full	Beam/Flip/Twist		A full twisting Turn Gaet Pimp Flip. This move was landed by Alfred Scott of Dodo Freerunning in 2015.
443	Flyaway Triple Full	Flyaway Double Full		Bar/Flip/Twist		A triple full twisting Flyaway.
444	Inward Flyaway Half	Inward Flyaway	Inward Flyaway Full, Inward Flyaway Half Catch, Reverse Underbar Inward Flyaway Half	Bar/Flip/Twist	Inward Flyaway 180	A half twisting Inward Flyaway.
445	Swing Castaway Double Back	Swing Castaway Back		Bar/Flip/Twist	Back Uprise Double Back	A double rotating Swing Castaway Back. This was first attempted by Shawn Bautista of Dodo Freerunning in 2015. This was first landed by Alexey Kruk of team Air Style in 2016.
446	Flyaway Full-In Full-Out	Flyaway Full-In Back-Out, Flyaway-In Full-Out	Flyaway Full-In Double Full-Out	Bar/Flip/Twist	Flyaway Double Double, Watanabe	Flyaway Full-In Back-Out with a full twist during the second rotation.
447	Wall Spin 540	Wall Spin Twist	One-Step Wall Spin 540	Wall/Flip/Twist		Wall Spin into a 540 twist.
448	One-Step One-Hand Palm Gainer Full	One-Hand Palm Gainer Full		Wall/Flip/Twist	One-Step Ginger Flip Full, One-Step Hi-Five Gainer Full	One step up a wall set into a One-Hand Palm Gainer Full.
449	Inward Side	Side Flip	Castaway Inward Side, Two-Foot Wall Inward Side, Wall Inward Side	Flip		Side Flip rotating opposite to the travel direction.
450	Gargoyle Pimp		Elbow Gargoyle Pimp, Gargoyle Pimp Full, Gargoyle Pimp Layout, Gargoyle Pimp Wall Flip	Wall/Flip		Pimp Flip set from Gargoyle position.
451	Elbow Gargoyle Pimp	Gargoyle Pimp		Wall/Flip		Gargoyle Pimp set from Elbow Gargoyle position.
452	Palm Spin Pimp	Palm Spin, Pimp Flip		Beam/Flip		Palm Spin into a Pimp Flip off the corner of a wall.
453	Double Butterfly Twist Vault	Butterfly Twist Vault		Vault/Twist	Rail Double Butterfly Twist	A double twisting Butterfly Twist Vault.
454	Pimp Double Full	Pimp Full		Flip/Twist		A double full twisting Pimp Flip.
455	Gargoyle Pimp Wall Flip	Gargoyle Pimp		Wall/Flip		Gargoyle Pimp set with a step off a perpendicular wall.
456	Sitting Turn Pimp Wall Flip	Sitting Turn Pimp Flip	Double Leg Circle Pimp Wall Flip	Wall/Flip		Sitting Turn Pimp set with a step off a perpendicular wall.
457	One-Hand Wall Spin Palm Twist	Wall Spin Twist	Corner One-Hand Wall Spin Palm Twist, Elbow Wall Spin Palm Twist	Wall/Flip/Twist	Dk Flip, Diddy Flip, One-Hand Palm Front Palm Half-Down	One-Hand Wall Spin into a half to three-quarter twist. This was first landed independently by both Dimitris Dk' Kyrsanidis of team Focus and Didi Alaoui in 2015.
458	Knee Aerial Twist	Aerial Twist	Knee Double Aerial Twist	Wall/Flip/Twist	Knee A-twist	An Aerial Twist set from kneeling on a ledge.
459	Knee Double Aerial Twist	Knee Aerial Twist		Wall/Flip/Twist	Knee Double A-twist	A double full twisting Aerial set from kneeling on a ledge on both knees.
460	Wall One and a Half Full	Wall Full	Wall Double Full	Wall/Flip/Twist	Wall Flip 540	A one and a half twisting Wall Flip.
461	Frisbee	Aerial, Butterfly Kick	Double Frisbee, Frisbee Full-Down, Frisbee Vault, Inward Frisbee, Palm Spin Frisbee, Pistol Frisbee, Touchdown Frisbee	Flip		A tucked Aerial or tucked Butterfly Kick.
462	Inward Aerial Twist	Aerial Twist	Inward Double Aerial Twist, Wall Inward Aerial Twist	Flip/Twist	Inward A-twist	A backwards traveling Aerial Twist. This move is typically done off a ledge.
463	Reverse Lache Two-Foot Wall Front	Front Flip, Reverse Lache	Lache 180 Wall Front	Bar/Wall/Flip		A backwards swinging Lache into a Front Flip off a wall.
464	Dive Palm Spin Gaet Pimp	Palm Spin Gaet Pimp		Beam/Flip		A dive into a Palm Spin Gaet Pimp. This was first landed by Alfred Scott of Dodo Freerunning in 2015.
465	Devil Drop Inward Tunnel	Inward Tunnel Flip		Wall/Flip	Hammer Drop	Inward Tunnel Flip set from Cat Hang position.
466	Inward Tunnel Flip	Tunnel Flip	Devil Drop Inward Tunnel, Inward Double Tunnel, Inward Tunnel Full	Flip		A backwards traveling Tunnel Flip. This move is typically done off a ledge.
467	Flyaway Layout	Flyaway	Flyaway Double Layout, Flyaway Layout-In Back-Out	Bar/Flip	Swing Gainer Layout, Bar Gainer Layout	A laid out Flyaway.
468	Back Layout	Back Flip	Angel Drop, Back Layout-In Back-Out, Double Layout, Korbut Flip, Kumquat, Pistol Back Flip	Flip		A laid out Back Flip.
469	Inward Dive Roll	Running Gainer	Inward Dive Roll Bomb	Roll		Running Gainer set into a laid out backwards rotation landing on both shoulders into a forward roll. Reference Club540.com for Suicide Kip Up.
470	Kong 360 Dive Roll	Kong 360, Kong Dive Roll	Kong 360 Front	Vault/Twist/Roll	Cat Pass 360 Dive Roll, Screwdriver Dive Roll	Kong 360 into Dive Roll. Alternatively, a full twisting Kong Dive Roll.
471	Reverse Speed	Reverse Safety		Vault		A vault performed over parallel obstacles in which a Reverse is executed off the first wall to a Speed off the second wall.
472	Swing Castaway Arabian	Swing Castaway Back	Swing Castaway Arabian Half	Bar/Flip/Twist	Back Uprise Arabian	A swing castaway set into an Arabian. This was first landed by Alfred Scott of Dodo Freerunning in 2015.
473	540 Dive Front Flip	540 Dive Roll		Flip/Twist	Filipino, 540 Vortex Front, 540 Pig Skin, 540 Psycho Crusher	A 540 twist into a front tuck.
474	Gainer Cat	Gainer		Wall/Flip	Gainer Arm Jump	Gainer landing in Cat Hang position. This was first landed by Erik Mukhametshin in 2015.
475	Devil Drop Side Full-Down	Devil Drop Side		Wall/Flip/Twist		Devil Drop Side into a full twist after the flip.
476	Devil Drop Gainer Layout	Devil Drop Gainer		Wall/Flip		A laid out Devil Drop Gainer.
477	Inward Dive Touchdown Twist	Inward 360 Dive Roll		Wall/Twist		An inward dive set followed by touching down into a full twist off a ledge.
478	Elbow Wall Spin Palm Twist	One-Hand Wall Spin Palm Twist		Wall/Flip/Twist	Elbow Dk Flip, Elbow Diddy Flip	One-Hand Wall Spin Palm Twist set by pushing off the wall with the elbow instead of spinning with the first hand. This was first landed independently by both Dimitris Dk' Kyrsanidis of team Focus in 2015.
479	Corner One-Hand Wall Spin Palm Twist	One-Hand Wall Spin Palm Twist		Wall/Flip/Twist	Corner Dk Flip, Corner Diddy Flip	One step off a wall into a One-Hand Wall Spin Palm Twist on a perpendicular wall. This was first landed independently by both Dimitris Dk' Kyrsanidis of team Focus in 2015.
480	One-Step Wall Spin 540	Wall Spin 540		Wall/Flip/Twist		One step up a wall into a Wall Spin 540.
481	Palm Side Half	Palm Side		Wall/Flip/Twist		A half twisting Palm Side Flip.
482	Kong 360 Front	Kong 360 Dive Roll		Vault/Flip/Twist	Cat Pass 360 Front, Screwdriver Front	Kong 360 into front tuck.
483	Sitting Touchdown Aerial Twist			Wall/Flip/Twist	Sitting Td A-twist	An Aerial Twist set from half sitting position and by touching down to set the body for the flat spin.
484	Kong Gainer Layout	Kong Gainer		Vault/Flip	Cat Pass Gainer Layout	A laid out Kong Gainer.
485	Slant Kong Gainer Cat	Slant Kong Gainer		Vault/Wall	Cheat Cat Pass Gainer Cat Hang, Cheat Kong Gainer Cat, Slant Kong Gainer Cat	Slant Kong Gainer landing in Cat Hang position. This was first landed by Ed Scott and Steve Jehu in 2015.
486	Flyaway-In Full-Out	Double Flyaway	Flyaway Full-In Full-Out, Flyaway Layout-In Full-Out	Bar/Flip/Twist	Lache Gainer Full-Out, Bar Gainer Full-Out, Swing Gainer Full-Out	Double Flyaway with a full twist during the second rotation.
487	Standing Cast Monkey Gainer	Monkey Gainer		Vault/Flip		A cast from standing into a Monkey Gainer. This was first landed by Alfred Scott of Dodo Freerunning in 2015.
488	Monkey Gainer	Kong Gainer	Standing Cast Monkey Gainer	Vault/Flip		Monkey Vault executed into a Gainer.
489	Two-Foot Wall Full-Up Inward Side	Two-Foot Wall Inward Side		Wall/Flip/Twist	Two-Foot Wall Vortex Inward Side, Two-Foot Wall 360 Inward Side	A two-foot jump set up the wall into a full twist into an inward side tuck. This was first landed by Farshad Mohammadian in 2015.
490	Sideways Castaway Back	Castaway Back		Wall/Flip	Bio Castaway Back, Caster Castaway Back, Lateral Castaway Back, Strafe Castaway Back	A sideways moving Castaway Back.
491	One-Step Palm Inward Aerial Twist	Wall Inward Aerial Twist		Wall/Flip/Twist	One-Step Palm Inward A-twist	One step up a wall followed by a push with one hand into an Inward Aerial Twist.
492	Swing Castaway Full-Up	Swing Castaway Back		Bar/Flip/Twist	Back Uprise Full-Up	A swing castaway set into a Full-Up. This was first attempted by Alfred Scott of Dodo Freerunning in 2015. Reference Club540.com for Full-Up.
493	Sitting Touchdown Double Butterfly Twist	Sitting Touchdown Butterfly Twist		Wall/Twist	Sitting Td Double B-twist	Double Butterfly Twist set from half sitting position and by touching down to set the body for the flat spin. Reference Club540.com for Double Butterfly Twist.
494	Wall Full-Up	Wall Flip	Gaet Wall Full-Up	Wall/Twist/Flip		One step up a wall set into a Full-Up. This was first landed by Shawn Bautista in 2015. Reference Club540.com for Full-Up.
495	Rail Aerial Twist-In Back-Out	Rail Aerial Twist		Vault/Flip/Twist	Rail A-twist-In Back-Out	Rail Aerial Twist into a back tuck. This was first attempted by Chris Hollingsworth in 2014.
496	Sitting Dash Bomb Half	Sitting Dash Bomb		Wall/Flip/Twist	Sitting Dash Barani	A half-twisting Sitting Dash Bomb.
497	Swing Castaway Full-Down	Swing Castaway Back		Bar/Flip/Twist	Back Uprise Full-Down	Swing Castaway Back into a full twist after the flip. This was first landed by Alfred Scott of Dodo Freerunning in 2015.
498	Devil Drop Half	Devil Drop	Devil Drop Full	Wall/Flip/Twist	Cat Belle Half, Cat Loser Half, Cat Front Half	A half twisting Devil Drop.
499	Dive Down Monkey	Down Monkey	Angel Drop Down Monkey	Wall/Flip		A backwards dive set into Down Monkey.
500	Two-Step Palm Wall Full	Two-Step Wall Full		Wall/Flip/Twist		Two steps up a wall while using both hands to palm off into a Wall Full. This was first landed by Alfred Scott of Dodo Freerunning in 2014.
501	One-Step Castaway Side	Castaway Side		Wall/Flip	One-Step Palm Drop Side	One step up a wall set into a Castaway Side.
502	Kong Dive Palm Gainer	Dive Palm Gainer		Vault/Wall/Flip	Cat Pass Dive Two-Hand Palm Gainer	Kong Vault into a Two-Hand Palm Gainer. This was first landed by Alfred Scott of Dodo Freerunning in 2014.
503	Slant Palm Gainer	Palm Gainer		Wall/Flip		An off-axis Palm Gainer.
504	Swing Castaway X-Out	Swing Castaway Back	Swing Castaway X-Out Full-Down	Bar/Flip	Back Uprise Straddle	A swing castaway set into X-Out. This was first landed by Moses Jackson in 2015.
505	One-Step Palm X-Out	One-Step Palm Flip		Wall/Flip		Palm Flip where both legs kick out to the sides before tucking. This was first landed by Moses Jackson in 2015.
506	Devil Drop Rudi	Devil Drop Full		Wall/Flip/Twist	Devil Drop 540	A one and a half twisting Devil Drop. This was first attempted by Delyan Dido Dimitrov in 2011.
507	Down Monkey Handstand	Down Monkey, Handstand		Wall/Flip/Handstand		Down Monkey into Handstand.
508	Handstand Castaway Back	Castaway Back, Handstand	One-Hand Handstand Castaway Back	Flip/Handstand	Quasimodo	Castaway Back set from Handstand position. This was first landed by Ben Jenkin in 2008.
509	One-Hand Handstand Castaway Back	Handstand Castaway Back		Flip/Handstand	One-Hand Quasimodo	Castaway Back using one hand set from Handstand.
510	Devil Drop Full	Devil Drop Half	Devil Drop Rudi	Wall/Flip/Twist	Cat Belle Full, Cat Loser Full, Cat Front Full	A full twisting Devil Drop.
511	Back Hip Semi-Circle Gainer	Back Hip Circle		Bar/Flip	Clear Hip Circle Gainer	Back Hip Circle released early in front of the high bar into a Gainer. This was first attempted by Delyan Dido Dimitrov in 2011.
512	Shushunova			Bar	Full Twisting Tkatchev, Half-Turn Markelov	A forward swing into a half turn released over the bar while straddled to regrab. This move was landed by Elena Shushunova in 1987.
513	Inward Flyaway-In Half-Out	Double Inward Flyaway		Bar/Flip/Twist		Double Inward Flyaway with half twisting during the second rotation.
514	Wall Layout Down Monkey	Down Monkey, Wall Layout	Alleyway Bridge Down Monkey, Wall Full Down Monkey, Wall Layout One-Hand Down Monkey	Wall/Flip		Wall Layout into a Down Monkey. This move was first landed by Adry Cemel in 2012.
515	Thief Cat	Thief Vault		Vault/Wall		Thief Vault landing in Cat Hang position.
516	Two-Step Wall Inward Front	Wall Inward Front		Wall/Flip	Two-Step Wall Loser	Two steps up a wall into an Inward Front.
517	Lache Side	Lache	Lache Side Full	Bar/Flip		Lache into a side tuck.
